canon powershot g3,,,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase .,nsubj####purchased####i######nsubj####satisfied####i######advmod####purchased####recently######det####g3####the######amod####g3####canon######nn####g3####powershot######dobj####purchased####g3######auxpass####satisfied####am######advmod####satisfied####extremely######conj_and####purchased####satisfied######det####purchase####the######prep_with####satisfied####purchase
,,,"- the drawbacks were that they were not user friendly for the casual photographer , the lcd_screen is a little too small , cp5000 does not take photos in raw format .",det####drawbacks####the######nsubj####were####drawbacks######complm####friendly####that######nsubj####friendly####they######cop####friendly####were######neg####friendly####not######advmod####friendly####user######ccomp####were####friendly######det####photographer####the######amod####photographer####casual######prep_for####friendly####photographer######det####lcd_screen####the######nsubj####small####lcd_screen######cop####small####is######dep####little####a######measure####small####little######advmod####small####too######ccomp####were####small######nsubj####take####cp5000######aux####take####does######neg####take####not######dep####were####take######dobj####take####photos######amod####format####raw######prep_in####take####format
,,,olympus_c5050 is a very solid camera with a metal_body .,nsubj####camera####olympus_c5050######cop####camera####is######det####camera####a######advmod####solid####very######amod####camera####solid######det####metal_body####a######prep_with####camera####metal_body
,,,"+ takes sharp 5mp photo 's , has great features and relatively easy to use .",nsubj####takes####+######amod####photo####sharp######amod####photo####5mp######nsubj####'s####photo######ccomp####takes####'s######ccomp####'s####has######amod####features####great######dobj####has####features######dep####easy####and######advmod####easy####relatively######dep####has####easy######aux####use####to######xcomp####easy####use
,,,"- i did n't care much for the tilting_lcd screen , it seemed very limited and not very usefull .",nsubj####care####i######aux####care####did######neg####care####n't######advmod####limited####much######dep####much####for######det####screen####the######amod####screen####tilting_lcd######pobj####for####screen######nsubjpass####limited####it######nsubj####usefull####it######auxpass####limited####seemed######cop####limited####seemed######advmod####limited####very######ccomp####care####limited######neg####usefull####not######advmod####usefull####very######ccomp####care####usefull######conj_and####limited####usefull
,,,photos had some artifacts and noise .,nsubj####had####photos######det####artifacts####some######dobj####had####artifacts######dobj####had####noise######conj_and####artifacts####noise
,,,my fiance just did n't like the way it felt in her hands .,poss####fiance####my######nsubj####like####fiance######advmod####like####just######aux####like####did######neg####like####n't######det####way####the######dobj####like####way######dobj####felt####way######nsubj####felt####it######rcmod####way####felt######poss####hands####her######prep_in####felt####hands
,,,we also looked at the fuji_fps602 .,nsubj####looked####we######advmod####looked####also######det####fuji_fps602####the######prep_at####looked####fuji_fps602
,,,"nice camera but does n't take as sharp as pictures i thought they would , and again .",amod####camera####nice######nsubj####take####camera######advmod####take####but######aux####take####does######neg####take####n't######advmod####sharp####as######acomp####take####sharp######mark####thought####as######nn####i####pictures######nsubj####thought####i######dep####take####thought######nsubj####would####they######ccomp####thought####would######dep####take####again######conj_and####thought####again
,,,fiance did n't like the feel .,nsubj####like####fiance######aux####like####did######neg####like####n't######det####feel####the######dobj####like####feel
,,,the canon_g3 .,det####canon_g3####the
"photo, use, software",,,"4mp , 4x optical zoom , takes absolutely beautiful photos with detail that challenges all of the above 5mp cameras , easy to understand and use ( has a great swivel_lcd screen ) , a lot of features and add-on options , comes with great software ( not to be overlooked ) , and last but by far not least , received my fiance 's stamp of approval ( two thumbs up ! )"
,,,"a lot of research went into digital camera 's before i made this purchase , and hands down , the g3 had everything_i needed plus more .",det####lot####a######nsubj####went####lot######prep_of####lot####research######amod####camera####digital######prep_into####went####camera######mark####made####before######nsubj####made####i######advcl####went####made######det####purchase####this######dobj####made####purchase######dep####down####hands######advmod####needed####down######det####g3####the######nsubj####needed####g3######aux####needed####had######advmod####needed####everything_i######conj_and####went####needed######cc####more####plus######advmod####needed####more
,,,"the other cameras were great and i 'm sure many people will beg to differ from my observations , but to each his / her own .",det####cameras####the######amod####cameras####other######nsubj####great####cameras######cop####great####were######nsubj####sure####i######cop####sure####'m######conj_and####great####sure######amod####people####many######nsubj####beg####people######xsubj####differ####people######aux####beg####will######ccomp####sure####beg######aux####differ####to######xcomp####beg####differ######poss####observations####my######prep_from####differ####observations######det####\/####each######predet####\/####each######poss####\/####his######prep_to####own####\/######nsubj####own####her######conj_but####great####own
,,,"i have no buyers remorse with this baby , and i never will .",nsubj####have####i######det####remorse####no######nn####remorse####buyers######dobj####have####remorse######det####baby####this######prep_with####have####baby######nsubj####will####i######neg####will####never######conj_and####have####will
,,,"always remember , cameras do n't take great pictures , people do !",advmod####remember####always######ccomp####take####remember######nsubj####take####cameras######aux####take####do######neg####take####n't######ccomp####do####take######amod####pictures####great######dobj####take####pictures######nsubj####do####people
camera,,,the powershot g3 is a great camera .,det####g3####the######nn####g3####powershot######nsubj####camera####g3######cop####camera####is######det####camera####a######amod####camera####great
,,,why ?
photo,,,because it can help a so-so photographer take spectacular photos !,mark####help####because######nsubj####help####it######aux####help####can######csubj####take####help######det####photographer####a######amod####photographer####so-so######dobj####help####photographer######amod####photos####spectacular######dobj####take####photos
camera,,,"4 megapixels is plenty for all but pros , and you will not be disappointed with the results of this camera .",num####megapixels####4######nsubj####plenty####megapixels######cop####plenty####is######prep_for####plenty####all######prep####all####but######dep####but####pros######nsubjpass####disappointed####you######aux####disappointed####will######neg####disappointed####not######auxpass####disappointed####be######conj_and####plenty####disappointed######det####results####the######prep_with####disappointed####results######det####camera####this######prep_of####results####camera
feature,,,it 's slightly lighter than the g2 and packed with even more features .,nsubjpass####lighter####it######nsubjpass####packed####it######auxpass####lighter####'s######cop####lighter####'s######advmod####lighter####slightly######det####g2####the######prep_than####lighter####g2######conj_and####lighter####packed######advmod####more####even######amod####features####more######prep_with####packed####features
,,,make sure you get a big compactflash_card ( it comes with a 32mb ) -- the 512mb cards are pretty [ inexpensive ] here on amazon.com and can hold about 500 photos at a time !,dep####get####make######acomp####make####sure######nsubj####get####you######det####compactflash_card####a######amod####compactflash_card####big######dobj####get####compactflash_card######nsubj####comes####it######dep####compactflash_card####comes######det####32mb####a######prep_with####comes####32mb######det####cards####the######amod####cards####512mb######nsubj####pretty####cards######nsubj####hold####cards######cop####pretty####are######parataxis####get####pretty######dep####pretty####inexpensive######dep####pretty####here######prep_on####pretty####amazon.com######aux####hold####can######parataxis####get####hold######conj_and####pretty####hold######quantmod####500####about######num####photos####500######dobj####hold####photos######det####time####a######prep_at####hold####time
unresponsiveness,,,"the catch with the canon_g3 camera , ( and perhaps all of digital cameras ) is that its unresponsiveness will cause you to miss precious shots .",det####catch####the######nsubj####is####catch######det####camera####the######amod####camera####canon_g3######prep_with####catch####camera######dep####all####and######dep####all####perhaps######dep####camera####all######amod####cameras####digital######prep_of####all####cameras######complm####cause####that######poss####unresponsiveness####its######nsubj####cause####unresponsiveness######aux####cause####will######ccomp####is####cause######nsubj####miss####you######aux####miss####to######xcomp####cause####miss######amod####shots####precious######dobj####miss####shots
,,,"prior to the purchase , none of my digital camera_friends mentioned the delay between pressing the shutter_button and the camera taking the picture .",advcl####mentioned####to######det####purchase####the######prep_prior_to####mentioned####purchase######nsubj####mentioned####none######poss####camera_friends####my######amod####camera_friends####digital######prep_of####none####camera_friends######det####delay####the######dobj####mentioned####delay######prepc_between####delay####pressing######det####shutter_button####the######nsubj####taking####shutter_button######det####camera####the######conj_and####shutter_button####camera######nsubj####taking####camera######dep####pressing####taking######det####picture####the######dobj####taking####picture
,,,"no one told me , but i wanted to tell you .",det####one####no######nsubj####told####one######dobj####told####me######nsubj####wanted####i######xsubj####tell####i######conj_but####told####wanted######aux####tell####to######xcomp####wanted####tell######dobj####tell####you
,,,this is not the same thing as a film_camera .,nsubj####thing####this######cop####thing####is######neg####thing####not######det####thing####the######amod####thing####same######det####film_camera####a######prep_as####thing####film_camera
,,,and while it is cool and fun and has no film_processing costs .,dep####and####while######nsubj####cool####it######nsubj####fun####it######nsubj####has####it######cop####cool####is######rcmod####while####cool######rcmod####while####fun######conj_and####cool####fun######rcmod####while####has######conj_and####cool####has######det####costs####no######amod####costs####film_processing######dobj####has####costs
,,,they have n't got all the bugs worked out just yet .,nsubj####got####they######aux####got####have######neg####got####n't######predet####bugs####all######det####bugs####the######nsubj####worked####bugs######ccomp####got####worked######prt####worked####out######advmod####worked####just######advmod####worked####yet
,,,"most of the time , my g3 is a well-behaved camera .",nsubj####camera####most######det####time####the######prep_of####most####time######poss####g3####my######appos####time####g3######cop####camera####is######det####camera####a######amod####camera####well-behaved
,,,"but once in a while , i run up against it 's major flaw :",cc####run####but######dep####run####once######det####while####a######prep_in####run####while######nsubj####run####i######prt####run####up######poss####flaw####it######amod####flaw####major######prep_against####run####flaw
,delay,,it sometimes takes the picture at some indefinite period of time after you press the shutter_button .,nsubj####takes####it######advmod####takes####sometimes######det####picture####the######dobj####takes####picture######det####period####some######amod####period####indefinite######prep_at####takes####period######prep_of####period####time######mark####press####after######nsubj####press####you######advcl####takes####press######det####shutter_button####the######dobj####press####shutter_button
,,,i am not talking milliseconds .,nsubj####talking####i######aux####talking####am######neg####talking####not######dobj####talking####milliseconds
,,,picture this :,dep####picture####this
,,,"your child is going to do a cannonball off the diving board , so you compose the shot and wait for your moment .",poss####child####your######nsubj####going####child######xsubj####do####child######aux####going####is######aux####do####to######xcomp####going####do######det####cannonball####a######dobj####do####cannonball######det####board####the######amod####board####diving######prep_off####do####board######mark####compose####so######nsubj####compose####you######advcl####do####compose######det####shot####the######dobj####compose####shot######xcomp####going####wait######conj_and####do####wait######poss####moment####your######prep_for####wait####moment
,,,"when it arrives , you press the shutter_release .",advmod####arrives####when######nsubj####arrives####it######dep####press####arrives######nsubj####press####you######det####shutter_release####the######dobj####press####shutter_release
,,,splash !
,,,"the moment_passes , and then your new g3_camera takes the shot .",det####moment_passes####the######nsubj####takes####moment_passes######advmod####moment_passes####then######conj_and####moment_passes####then######nsubj####takes####then######poss####g3_camera####your######amod####g3_camera####new######conj_and####moment_passes####g3_camera######nsubj####takes####g3_camera######det####shot####the######dobj####takes####shot
,,,perhaps there is a way around this delay .,advmod####is####perhaps######expl####is####there######det####way####a######nsubj####is####way######det####delay####this######prep_around####way####delay
,,,"some feature_i could turn on or off , or some attachment_i could get .",det####feature_i####some######nsubj####turn####feature_i######aux####turn####could######advmod####turn####on######advmod####turn####off######conj_or####on####off######det####attachment_i####some######nsubj####get####attachment_i######aux####get####could######conj_or####turn####get
,,,"yes , i push the button down halfway first to avoid the autofocus_delay .",dep####push####yes######nsubj####push####i######det####button####the######dobj####push####button######advmod####first####down######advmod####first####halfway######amod####button####first######aux####avoid####to######xcomp####first####avoid######det####autofocus_delay####the######dobj####avoid####autofocus_delay
,,,"yes , i have red-eye off , and yes , i 've tried adding a flash .",dep####red-eye####yes######nsubj####red-eye####i######aux####red-eye####have######prt####red-eye####off######dep####tried####yes######nsubj####tried####i######aux####tried####'ve######conj_and####red-eye####tried######xcomp####tried####adding######det####flash####a######dobj####adding####flash
,,,"but after trying many adjustments , the camera remains unresponsive when compared to any film-based camera .",cc####unresponsive####but######prepc_after####unresponsive####trying######amod####adjustments####many######dobj####trying####adjustments######det####camera####the######nsubj####unresponsive####camera######cop####unresponsive####remains######advmod####compared####when######advcl####unresponsive####compared######det####camera####any######amod####camera####film-based######prep_to####compared####camera
,,,i own another canon - an eos ( 35mm film ) camera .,dep####own####i######det####canon####another######dobj####own####canon######det####camera####an######nn####camera####eos######num####film####35mm######appos####camera####film######dep####canon####camera
,,,it focuses in a snap .,nsubj####focuses####it######det####snap####a######prep_in####focuses####snap
,,,"dim or bright , it would never take a picture after the birthday_candles had blown out , after the tae kwon do kick broke the board .",ccomp####take####dim######conj_or####dim####bright######ccomp####take####bright######nsubj####take####it######aux####take####would######neg####take####never######det####picture####a######dobj####take####picture######mark####blown####after######det####birthday_candles####the######nsubj####blown####birthday_candles######aux####blown####had######advcl####take####blown######prt####blown####out######mark####do####after######det####kwon####the######nn####kwon####tae######nsubj####do####kwon######advcl####blown####do######nsubj####broke####kick######ccomp####do####broke######det####board####the######dobj####broke####board
,delay,,canon 's g3 does it consistently .,poss####g3####canon######nsubj####does####g3######dobj####does####it######advmod####does####consistently
"focus, shoot",,,"it feels slow to focus , and unbearably slow to shoot .",nsubj####feels####it######acomp####feels####slow######aux####focus####to######xcomp####slow####focus######advmod####slow####unbearably######acomp####feels####slow######conj_and####slow####slow######aux####shoot####to######xcomp####slow####shoot
,,,i challenge anyone ( who is not in direct sun at the beach at noon ) to say it is fast and responsive .,dep####challenge####i######nsubj####say####anyone######nsubj####is####who######dep####anyone####is######neg####is####not######amod####sun####direct######prep_in####is####sun######det####beach####the######prep_at####sun####beach######prep_at####beach####noon######aux####say####to######xcomp####challenge####say######nsubj####fast####it######nsubj####responsive####it######cop####fast####is######ccomp####say####fast######ccomp####say####responsive######conj_and####fast####responsive
,,,"and so i must ask , what are cameras for ?",dep####so####and######advmod####so####i######aux####ask####must######dep####so####ask######dep####are####what######dep####ask####are######nsubj####are####cameras######prep####are####for
,,,what task do they perform ?,det####task####what######dobj####perform####task######aux####perform####do######nsubj####perform####they
,,,cameras_capture moments .,dobj####cameras_capture####moments
,,,they stop time .,nsubj####stop####they######dobj####stop####time
,,,"because once the moment is gone , it is not coming back .",mark####gone####because######advmod####gone####once######det####moment####the######nsubjpass####gone####moment######auxpass####gone####is######advcl####coming####gone######nsubj####coming####it######aux####coming####is######neg####coming####not######advmod####coming####back
,,,"the dive , the kick , the blow-out-the-candles moments are , to me , the reason for cameras .",det####dive####the######nsubj####reason####dive######det####kick####the######appos####dive####kick######det####moments####the######amod####moments####blow-out-the-candles######appos####kick####moments######cop####reason####are######prep_to####reason####me######det####reason####the######prep_for####reason####cameras
,,,"a 35mm film_camera captures the moments you want , while these digital cameras ( my friends now inform me ) all seem to capture the moment immediately following the one you asked to capture .",det####film_camera####a######num####film_camera####35mm######nsubj####captures####film_camera######det####moments####the######dobj####captures####moments######dobj####want####moments######nsubj####want####you######rcmod####moments####want######mark####seem####while######det####cameras####these######amod####cameras####digital######nsubj####seem####cameras######xsubj####capture####cameras######poss####friends####my######nsubj####inform####friends######advmod####inform####now######dep####cameras####inform######dobj####inform####me######nsubj####seem####all######xsubj####capture####all######advcl####captures####seem######aux####capture####to######xcomp####seem####capture######det####moment####the######dobj####capture####moment######advmod####capture####immediately######det####one####the######prep_following####capture####one######dobj####asked####one######nsubj####asked####you######xsubj####capture####you######rcmod####one####asked######aux####capture####to######xcomp####asked####capture
,,,"not all the time , but often enough to be a real problem .",dep####enough####all######det####time####the######dep####all####time######cc####enough####but######advmod####enough####often######advmod####problem####enough######aux####problem####to######cop####problem####be######det####problem####a######amod####problem####real######dep####not####problem
,,,"like i said , when the moment is gone , it is gone .",prep_like####gone####i######partmod####i####said######advmod####gone####when######det####moment####the######nsubjpass####gone####moment######auxpass####gone####is######dep####gone####gone######nsubjpass####gone####it######auxpass####gone####is
,,,so buy the g3 .,advmod####buy####so######det####g3####the######dobj####buy####g3
,,,"buy it for fun , for lack of processing , because you want to use iphoto , or whatever .",dobj####buy####it######prep_for####buy####fun######prep_for####fun####lack######prep_of####lack####processing######mark####want####because######nsubj####want####you######xsubj####use####you######dep####buy####want######aux####use####to######xcomp####want####use######dobj####use####iphoto######dep####buy####whatever######conj_or####want####whatever
,,,"but do not assume , as i did , that the g3 has the same ability as [ your current film_camera ] to stop the moment you choose .",cc####assume####but######aux####assume####do######neg####assume####not######mark####did####as######nsubj####did####i######advcl####assume####did######complm####has####that######det####g3####the######nsubj####has####g3######ccomp####assume####has######det####ability####the######amod####ability####same######dobj####has####ability######poss####film_camera####your######amod####film_camera####current######prep_as####ability####film_camera######aux####stop####to######infmod####film_camera####stop######det####moment####the######dobj####stop####moment######dobj####choose####moment######nsubj####choose####you######rcmod####moment####choose
,,,"from a dime_store disposable to a top of the line_eos , all film_cameras share this ability to capture the moment you tell them to .",det####dime_store####a######prep_from####share####dime_store######amod####dime_store####disposable######det####top####a######prep_to####disposable####top######det####line_eos####the######prep_of####top####line_eos######det####film_cameras####all######nsubj####share####film_cameras######det####ability####this######nsubj####capture####ability######aux####capture####to######xcomp####share####capture######det####moment####the######dobj####capture####moment######dobj####tell####moment######nsubj####tell####you######rcmod####moment####tell######nsubj####to####them######xcomp####tell####to
g3,,,"unfortunately , this digital moment-capturing device called the g3 sometimes captures the moment after the one you wanted .",advmod####called####unfortunately######det####device####this######amod####device####digital######amod####device####moment-capturing######nsubj####called####device######det####g3####the######nsubj####captures####g3######advmod####captures####sometimes######ccomp####called####captures######det####moment####the######dobj####captures####moment######det####one####the######prep_after####captures####one######dobj####wanted####one######nsubj####wanted####you######rcmod####one####wanted
camera,,,this is my first digital camera and i could n't be happier .,nsubj####camera####this######cop####camera####is######poss####camera####my######amod####camera####first######amod####camera####digital######nsubj####happier####i######aux####happier####could######neg####happier####n't######cop####happier####be######conj_and####camera####happier
,,,i have but plan on selling my rebel_ti and all of the equipment with it .,dep####have####i######conj_but####have####plan######prepc_on####plan####selling######poss####rebel_ti####my######dobj####selling####rebel_ti######dobj####selling####all######conj_and####rebel_ti####all######det####equipment####the######prep_of####all####equipment######prep_with####equipment####it
picture quality,,,i love the quality of the pictures .,dep####love####i######det####quality####the######dobj####love####quality######det####pictures####the######prep_of####quality####pictures
,,picture quality,they look fantastic .,nsubj####look####they######acomp####look####fantastic
,,,i can take better pictures with this then my rebel_ti with a good lens .,nsubj####take####i######aux####take####can######amod####pictures####better######dobj####take####pictures######det####rebel_ti####this######advmod####rebel_ti####then######poss####rebel_ti####my######prep_with####take####rebel_ti######det####lens####a######amod####lens####good######prep_with####rebel_ti####lens
,,,it 's just easier for me since i can make on the fly_adjustments .,nsubj####easier####it######cop####easier####'s######advmod####easier####just######prep_for####easier####me######mark####make####since######nsubj####make####i######aux####make####can######advcl####easier####make######det####fly_adjustments####the######prep_on####make####fly_adjustments
4mp camera,,,the canon_g3 is perhaps the best 4mp camera out there .,det####canon_g3####the######nsubj####camera####canon_g3######cop####camera####is######advmod####camera####perhaps######det####camera####the######amod####camera####best######amod####camera####4mp######prep####camera####out######pobj####out####there
,,,"i 've tried the sony_s85 with the carl_zeiss lens , but the pictures were too digital .",nsubj####tried####i######aux####tried####'ve######det####sony_s85####the######dobj####tried####sony_s85######det####lens####the######amod####lens####carl_zeiss######prep_with####tried####lens######det####pictures####the######nsubj####digital####pictures######cop####digital####were######advmod####digital####too######conj_but####tried####digital
picture,,,"with canon , you get pictures that appear to be photos , not still camcorder shots .",prep_with####get####canon######nsubj####get####you######dobj####get####pictures######nsubj####appear####pictures######rcmod####pictures####appear######aux####photos####to######cop####photos####be######xcomp####appear####photos######neg####photos####not######advmod####photos####still######nn####shots####camcorder######dep####photos####shots
"control,menu",,,i love the eos based controls and easy menus .,dep####love####i######det####eos####the######dobj####love####eos######prep####eos####based######dep####based####controls######amod####menus####easy######dep####based####menus######conj_and####controls####menus
,,,i do n't need to go into exhustive review of this camera .,nsubj####need####i######xsubj####go####i######aux####need####do######neg####need####n't######aux####go####to######xcomp####need####go######amod####review####exhustive######prep_into####go####review######det####camera####this######prep_of####review####camera
,,,many before me have done that already .,mark####done####before######nsubj####done####me######aux####done####have######dep####many####done######complm####already####that######dep####done####already
,,,i agree with the positive reviews .,dep####agree####i######det####reviews####the######amod####reviews####positive######prep_with####agree####reviews
,,,but there are two things_i do n't like about the camera that were not mentioned in any previous reviews .,cc####are####but######expl####are####there######num####things_i####two######nsubj####are####things_i######aux####like####do######neg####like####n't######rcmod####things_i####like######det####camera####the######prep_about####like####camera######nsubjpass####mentioned####camera######auxpass####mentioned####were######neg####mentioned####not######rcmod####camera####mentioned######det####reviews####any######amod####reviews####previous######prep_in####mentioned####reviews
lens cap,,,1 ) the included lens cap is very loose on the camera .,dep####included####1######nsubj####included####the######nn####cap####lens######nsubj####loose####cap######cop####loose####is######advmod####loose####very######ccomp####included####loose######det####camera####the######prep_on####loose####camera
,,,"though the instruction_booklet says that the camera should display `` lens `` when the cap and the camera are both on , the camera lens extends out and simply takes the lens cap off by itself .",mark####says####though######det####instruction_booklet####the######nsubj####says####instruction_booklet######advcl####extends####says######complm####display####that######det####camera####the######nsubj####display####camera######aux####display####should######ccomp####says####display######dobj####display####lens######advmod####are####when######rel####are####when######det####cap####the######nsubj####are####cap######det####camera####the######conj_and####cap####camera######nsubj####are####camera######dep####lens####are######dep####are####both######prep####are####on######det####lens####the######nn####lens####camera######nsubj####extends####lens######nsubj####takes####lens######prt####extends####out######advmod####extends####simply######conj_and####extends####simply######conj_and####extends####takes######det####cap####the######nn####cap####lens######dobj####takes####cap######prt####takes####off######prep_by####takes####itself
,,,"i 'm concerned that with the easily removed lens cap , i may damage the lens .",nsubjpass####concerned####i######auxpass####concerned####'m######complm####damage####that######det####cap####the######advmod####removed####easily######amod####cap####removed######nn####cap####lens######prep_with####damage####cap######nsubj####damage####i######aux####damage####may######ccomp####concerned####damage######det####lens####the######dobj####damage####lens
,,,very cheaply made .,advmod####cheaply####very######advmod####made####cheaply
body,,,"2 ) the body_construction - buttons , casing , etc , are too plastic .",dep####plastic####2######det####body_construction####the######nsubj####plastic####body_construction######dep####body_construction####buttons######appos####buttons####casing######appos####buttons####etc######cop####plastic####are######advmod####plastic####too
,,,the g2 was better in this respect .,det####g2####the######nsubj####better####g2######cop####better####was######det####respect####this######prep_in####better####respect
casing,,,it had a heavier and more sturdy casing .,nsubj####had####it######det####casing####a######amod####casing####heavier######conj_and####heavier####more######amod####casing####more######amod####casing####sturdy######dobj####had####casing
,,,"despite these grieps , i still recommend the camera .",det####grieps####these######prep_despite####recommend####grieps######nsubj####recommend####i######advmod####recommend####still######det####camera####the######dobj####recommend####camera
,,,i used a canon_powershot s20 for about 2.5 years and loved it !,nsubj####used####i######nsubj####loved####i######det####s20####a######amod####s20####canon_powershot######dobj####used####s20######quantmod####2.5####about######num####years####2.5######prep_for####used####years######conj_and####used####loved######dobj####loved####it
,,,"there were a few flaws that i learned to deal with and took thousands of pictures around the world , losing a few that i really regretted .",expl####were####there######det####flaws####a######amod####flaws####few######nsubj####were####flaws######complm####learned####that######nsubj####learned####i######xsubj####deal####i######nsubj####took####i######ccomp####were####learned######aux####deal####to######xcomp####learned####deal######prep####deal####with######ccomp####were####took######conj_and####learned####took######dobj####took####thousands######prep_of####thousands####pictures######det####world####the######prep_around####took####world######xcomp####took####losing######det####few####a######dobj####losing####few######complm####regretted####that######nsubj####regretted####i######advmod####regretted####really######ccomp####took####regretted
,,,"i finally decided to upgrade , and started my research .",nsubj####decided####i######xsubj####upgrade####i######nsubj####started####i######advmod####decided####finally######aux####upgrade####to######xcomp####decided####upgrade######conj_and####decided####started######poss####research####my######dobj####started####research
,,,"canon was an obvious choice , but i did not want to limit my decision , so started researching all brands that would take my microdrives .",nsubj####choice####canon######cop####choice####was######det####choice####an######amod####choice####obvious######nsubj####want####i######aux####want####did######neg####want####not######conj_but####choice####want######aux####limit####to######dep####want####limit######poss####decision####my######dobj####limit####decision######advmod####limit####so######dep####limit####started######xcomp####started####researching######det####brands####all######dobj####researching####brands######nsubj####take####brands######aux####take####would######rcmod####brands####take######poss####microdrives####my######dobj####take####microdrives
,,,"i researched , held , tested , and observed 3 different brands .",nn####researched####i######nsubj####tested####researched######nsubj####observed####researched######partmod####researched####held######conj_and####tested####observed######num####brands####3######amod####brands####different######dobj####observed####brands
,,,"needless to say , the canon won , hands down .",nsubj####hands####needless######aux####say####to######infmod####needless####say######det####canon####the######nsubj####won####canon######parataxis####hands####won######prt####hands####down
,,,this camera performs like i can not believe !,det####camera####this######nsubj####performs####camera######mark####believe####like######nsubj####believe####i######aux####believe####can######neg####believe####not######advcl####performs####believe
,,performance,"i bought it for my trip to beunos aires , and also used it at the iguazu falls , and could not have asked for more perfect performance !",nsubj####bought####i######nsubj####used####i######nsubj####asked####i######dobj####bought####it######poss####trip####my######prep_for####bought####trip######amod####aires####beunos######prep_to####bought####aires######advmod####used####also######conj_and####bought####used######dobj####used####it######det####falls####the######amod####falls####iguazu######prep_at####used####falls######aux####asked####could######neg####asked####not######aux####asked####have######conj_and####bought####asked######advmod####perfect####more######amod####performance####perfect######prep_for####asked####performance
,,,"it was too new to have learned much about the advanced features , so i generally used the auto_mode .",nsubj####new####it######cop####new####was######advmod####new####too######aux####learned####to######aux####learned####have######xcomp####new####learned######advmod####learned####much######advmod####features####about######det####features####the######amod####features####advanced######dep####much####features######dep####new####so######nsubj####used####i######advmod####used####generally######ccomp####new####used######det####auto_mode####the######dobj####used####auto_mode
camera,,,"this camera is worth every penny , and i highly recommend it !",det####camera####this######nsubj####is####camera######det####penny####every######prep_worth####is####penny######nsubj####recommend####i######advmod####recommend####highly######conj_and####is####recommend######dobj####recommend####it
battery life,,,another point of note : the battery_life is incredible !,det####point####another######dep####incredible####point######prep_of####point####note######det####battery_life####the######nsubj####incredible####battery_life######cop####incredible####is
,,,"i did not have a backup_battery , and had no need for one .",nsubj####have####i######nsubj####had####i######aux####have####did######neg####have####not######det####backup_battery####a######dobj####have####backup_battery######conj_and####have####had######det####need####no######dobj####had####need######prep_for####need####one
,,,"i did have ability to charge it every night , so do n't know how long it would have actually gone before dying .",nsubj####have####i######aux####have####did######dobj####have####ability######aux####charge####to######xcomp####have####charge######dobj####charge####it######det####night####every######tmod####charge####night######mark####know####so######aux####know####do######neg####know####n't######advcl####charge####know######advmod####long####how######advmod####gone####long######nsubj####gone####it######aux####gone####would######aux####gone####have######advmod####gone####actually######ccomp####know####gone######prep_before####gone####dying
,,,this camera will stay with me for years !,det####camera####this######nsubj####stay####camera######aux####stay####will######prep_with####stay####me######prep_for####stay####years
,,,i 've been looking to buy a digital camera for a long time and v_= finally decided that now was the time .,nsubj####looking####i######xsubj####buy####i######aux####looking####'ve######aux####looking####been######aux####buy####to######xcomp####looking####buy######det####camera####a######amod####camera####digital######dobj####buy####camera######det####time####a######amod####time####long######prep_for####camera####time######nn####=####v######nn####=####_######nsubj####decided####=######advmod####decided####finally######conj_and####looking####decided######complm####time####that######nsubj####time####now######cop####time####was######det####time####the######ccomp####decided####time
,,,"after a lot of research , i decided on the g3 .",det####lot####a######prep_after####decided####lot######prep_of####lot####research######nsubj####decided####i######det####g3####the######prep_on####decided####g3
camera,,,am i ever glad that i decided on this camera !,cop####glad####am######nsubj####glad####i######advmod####glad####ever######complm####decided####that######nsubj####decided####i######ccomp####glad####decided######det####camera####this######prep_on####decided####camera
camera,,,"i 've only had it a week , but so far , everything about this camera is making me happy .",nsubj####had####i######aux####had####'ve######advmod####had####only######dobj####had####it######iobj####had####it######det####week####a######dep####it####week######advmod####far####so######advmod####making####far######nsubj####making####everything######det####camera####this######prep_about####everything####camera######aux####making####is######conj_but####had####making######nsubj####happy####me######xcomp####making####happy
,,,forget the fact that it 'll probably take me a year to figure out all the features this camera has to offer .,det####fact####the######dobj####forget####fact######complm####take####that######nsubj####take####it######aux####take####'ll######advmod####take####probably######ccomp####forget####take######dobj####take####me######det####year####a######tmod####take####year######aux####figure####to######xcomp####take####figure######prt####figure####out######predet####features####all######det####features####the######dobj####figure####features######dobj####has####features######det####camera####this######nsubj####has####camera######xsubj####offer####camera######rcmod####features####has######aux####offer####to######xcomp####has####offer
,,,i 've been able to change modes on this thing without even looking at the manual .,nsubj####able####i######aux####able####'ve######cop####able####been######aux####change####to######xcomp####able####change######dobj####change####modes######det####thing####this######prep_on####modes####thing######advmod####looking####even######prepc_without####change####looking######det####manual####the######prep_at####looking####manual
menu,,,very intuitive menus are a big plus on this camera .,advmod####intuitive####very######amod####menus####intuitive######nsubj####plus####menus######cop####plus####are######det####plus####a######amod####plus####big######det####camera####this######prep_on####plus####camera
