scroll,,,"the scroll_button is sort of annoying to push - a nice button would be nicer but eh , not a big deal .",det####scroll_button####the######nsubj####annoying####scroll_button######cop####annoying####is######dep####of####sort######advmod####annoying####of######aux####push####to######xcomp####annoying####push######det####button####a######amod####button####nice######nsubj####nicer####button######aux####nicer####would######cop####nicer####be######parataxis####annoying####nicer######prep####nicer####but######dep####but####eh######neg####eh####not######det####deal####a######amod####deal####big######dep####eh####deal
,,,it also stores_data so i can see myself placing some data_files on here .,nsubj####stores_data####it######advmod####stores_data####also######mark####see####so######nsubj####see####i######aux####see####can######advcl####stores_data####see######nsubj####placing####myself######dep####see####placing######det####data_files####some######dobj####placing####data_files######prep####placing####on######pobj####on####here
,size,,"it is slightly larger than an ipod , no doubt about it .",nsubj####larger####it######cop####larger####is######advmod####larger####slightly######det####ipod####an######prep_than####larger####ipod######det####doubt####no######appos####ipod####doubt######prep_about####doubt####it
,,,"for me , that was the only drawback .",prep_for####drawback####me######nsubj####drawback####that######cop####drawback####was######det####drawback####the######amod####drawback####only
,,player,i 'm really happy with this purchase .,nsubj####happy####i######cop####happy####'m######advmod####happy####really######det####purchase####this######prep_with####happy####purchase
,,,"also , when i installed the software , it said that windows xp had n't approved something with the drivers , etc - and that continuing it install may cause instability .",advmod####said####also######advmod####installed####when######nsubj####installed####i######dep####said####installed######det####software####the######dobj####installed####software######nsubj####said####it######complm####approved####that######nn####xp####windows######nsubj####approved####xp######aux####approved####had######neg####approved####n't######ccomp####said####approved######dobj####approved####something######det####drivers####the######prep_with####approved####drivers######dep####approved####etc######complm####cause####that######csubj####cause####continuing######nsubj####install####it######ccomp####continuing####install######aux####cause####may######ccomp####said####cause######conj_and####approved####cause######dobj####cause####instability
,,,"if you 're like me , that will definitely make you pause .",mark####'re####if######nsubj####'re####you######advcl####make####'re######prep_like####'re####me######nsubj####make####that######aux####make####will######advmod####make####definitely######nsubj####pause####you######ccomp####make####pause
,,,"after i reviewed the manual ( a pdf_file included on the cd ) , i felt better because they warned you about the message and said it would n't cause problems and , in fact , it has n't .",prep_after####felt####i######partmod####i####reviewed######det####manual####the######dobj####reviewed####manual######det####pdf_file####a######dep####manual####pdf_file######partmod####pdf_file####included######det####cd####the######prep_on####included####cd######nsubj####felt####i######advmod####felt####better######mark####warned####because######nsubj####warned####they######nsubj####said####they######advcl####felt####warned######dobj####warned####you######det####message####the######prep_about####warned####message######advcl####felt####said######conj_and####warned####said######nsubj####cause####it######aux####cause####would######neg####cause####n't######dep####said####cause######dobj####cause####problems######dep####cause####in######pobj####in####fact######nsubj####n't####it######aux####n't####has######dep####said####n't######conj_and####cause####n't
,,,"so if you have xp , be prepared for this and do n't be alarmed .",advmod####xp####so######dep####xp####if######nsubj####xp####you######aux####xp####have######advcl####prepared####xp######auxpass####prepared####be######prep_for####prepared####this######aux####alarmed####do######neg####alarmed####n't######cop####alarmed####be######conj_and####prepared####alarmed
,,,"if you are out for an mp3_player with a lot of memory and do not want to spend a ton of money , i think this is a great purchase and strongly recommend it .",mark####are####if######nsubj####are####you######nsubj####want####you######xsubj####spend####you######advcl####think####are######advmod####are####out######dep####out####for######det####mp3_player####an######pobj####for####mp3_player######det####lot####a######prep_with####are####lot######prep_of####lot####memory######aux####want####do######neg####want####not######conj_and####are####want######advcl####think####want######aux####spend####to######xcomp####want####spend######det####ton####a######dobj####spend####ton######prep_of####ton####money######nsubj####think####i######nsubj####purchase####this######nsubj####recommend####this######cop####purchase####is######det####purchase####a######amod####purchase####great######ccomp####think####purchase######advmod####recommend####strongly######ccomp####think####recommend######conj_and####purchase####recommend######dobj####recommend####it
size,,,i would have liked to have given it 4 1/2 stars docking that 1/2 star only for the size .,nsubj####liked####i######xsubj####given####i######aux####liked####would######aux####liked####have######aux####given####to######aux####given####have######xcomp####liked####given######iobj####given####it######num####stars####4 1\/2######dobj####given####stars######partmod####stars####docking######det####star####that######num####star####1\/2######dobj####docking####star######advmod####docking####only######det####size####the######prep_for####docking####size
,,,i got this a while ago knowing nothing about it .,nsubj####got####i######dobj####got####this######det####while####a######dep####ago####while######advmod####knowing####ago######partmod####this####knowing######dobj####knowing####nothing######prep_about####nothing####it
,,,it is a beast .,nsubj####beast####it######cop####beast####is######det####beast####a
,,,if i wasnt a runner_i would take a bullet in the foot for my nomad jukebox .,mark####wasnt####if######nsubj####wasnt####i######csubj####take####wasnt######det####runner_i####a######dobj####wasnt####runner_i######aux####take####would######det####bullet####a######dobj####take####bullet######det####foot####the######prep_in####take####foot######poss####jukebox####my######amod####jukebox####nomad######prep_for####foot####jukebox
"screen,equilizer",,,"now heres the stuff you should know starting with the good things : the screen is really big and the blue light in the back is perfect , fast as hell in music_transfer , controls are easy to use after mastering the scroll_button , great sound and ive heard many mp3_players , a ton of different equilizer type deals on here ."
"weight,software",size,,"there are a couple things i didnt like though but nothing serious : a little larger than other mp3s but still light , the software takes some time to get used to ( maybe 10-15 mins ) , and this thing would definitely be destroyed with one fall .",expl####are####there######det####things####a######nn####things####couple######nsubj####are####things######advmod####didnt####i######amod####things####didnt######prep####didnt####like######dep####like####though######dep####serious####nothing######amod####things####serious######conj_but####didnt####serious######dep####little####a######measure####larger####little######amod####light####larger######amod####mp3s####other######prep_than####larger####mp3s######advmod####larger####still######conj_but####larger####still######amod####light####still######dep####things####light######det####software####the######nsubj####takes####software######dep####light####takes######det####time####some######dobj####takes####time######aux####used####to######auxpass####used####get######infmod####time####used######xcomp####used####to######advmod####mins####maybe######num####mins####10-15######dep####light####mins######det####thing####this######nsubjpass####destroyed####thing######aux####destroyed####would######advmod####destroyed####definitely######auxpass####destroyed####be######conj_and####are####destroyed######num####fall####one######prep_with####destroyed####fall
case,,,but it comes with a tank of a case and if you cut a piece out where the screen is you can always keep it in the case and still access_everything .,nsubj####comes####it######nsubj####access_everything####it######det####tank####a######prep_with####comes####tank######det####case####a######prep_of####tank####case######mark####cut####if######nsubj####cut####you######csubj####keep####cut######det####piece####a######dobj####cut####piece######prt####cut####out######advmod####you####where######det####screen####the######nsubj####you####screen######cop####you####is######advcl####cut####you######aux####keep####can######advmod####keep####always######conj_and####comes####keep######dobj####keep####it######det####case####the######prep_in####keep####case######advmod####access_everything####still######conj_and####comes####access_everything
"price,sound",,,"ive seen em all , the archos , dell , ipods , everything ... good price and great sound makes this one the best in my opinion .",nsubj####em####ive######partmod####ive####seen######dobj####em####all######det####archos####the######appos####all####archos######appos####all####dell######appos####all####ipods######appos####all####everything######amod####price####good######nsubj####makes####price######amod####sound####great######conj_and####price####sound######nsubj####makes####sound######parataxis####em####makes######det####one####this######nsubj####best####one######det####best####the######xcomp####makes####best######poss####opinion####my######prep_in####best####opinion
,,,granted this is cheaper than an ipod .,dep####cheaper####granted######nsubj####cheaper####this######cop####cheaper####is######det####ipod####an######prep_than####cheaper####ipod
,,,cheaper in every way .,det####way####every######prep_in####cheaper####way
,"weight,size",,its far heavier and much larger which might not seem to matter except if you use it while running or keep it in your pocket .,poss####while####its######advmod####heavier####far######amod####while####heavier######advmod####larger####much######conj_and####heavier####larger######amod####while####larger######nsubj####seem####which######aux####seem####might######neg####seem####not######ccomp####larger####seem######aux####matter####to######ccomp####seem####matter######dep####matter####except######mark####use####if######nsubj####use####you######dep####matter####use######dobj####use####it######nsubj####running####while######nsubj####keep####while######conj_or####running####keep######dobj####keep####it######poss####pocket####your######prep_in####keep####pocket
playlist,,,"its far more difficult to select songs and has no easy to use on the fly playlist creation such as the new ipod not to mention it does n't sinc with contact_lists , phone_numbers , address_books , ect . like the ipod ( which eliminated my need for any kind of palm device ) .",det####ipod####the######dobj####like####ipod######nsubj####eliminated####which######dep####ipod####eliminated######poss####need####my######dobj####eliminated####need######det####kind####any######prep_for####eliminated####kind######nn####device####palm######prep_of####kind####device
battery life,,,it also has unproven battery life .,nsubj####unproven####it######advmod####unproven####also######aux####unproven####has######nn####life####battery######dobj####unproven####life
,,,"everyone who says i can 't buy the ipod because after excessive use in a short time ( the man who made the ipod_battery life_video admitted that he had used it extensively every day and charged fully every night for those 18 months , conditions under which any rechargeable battery_dies .",nsubj####says####everyone######nsubj####t####everyone######rcmod####everyone####says######dobj####says####i######aux####t####can######xcomp####t####buy######det####use####the######amod####use####ipod######dep####ipod####because######prep_after####ipod####excessive######dobj####buy####use######det####time####a######amod####time####short######prep_in####buy####time######prep_under####conditions####time######det####man####the######dep####time####man######nsubj####made####man######rcmod####man####made######det####life_video####the######amod####life_video####ipod_battery######nsubj####admitted####life_video######ccomp####made####admitted######complm####used####that######nsubj####used####he######nsubj####charged####he######aux####used####had######ccomp####admitted####used######dobj####used####it######advmod####used####extensively######det####day####every######tmod####used####day######ccomp####admitted####charged######conj_and####used####charged######advmod####night####fully######det####night####every######tmod####charged####night######det####months####those######num####months####18######prep_for####charged####months######dobj####battery_dies####conditions######rel####battery_dies####conditions######det####rechargeable####any######nsubj####battery_dies####rechargeable######rcmod####time####battery_dies
,,,"use this for 18 months every day and see what happens , or look at a 2 year old electric razor and see if it holds the same charge as the first day you had it ) .",dobj####use####this######num####months####18######prep_for####this####months######det####day####every######dep####months####day######conj_and####use####see######nsubj####happens####what######ccomp####see####happens######conj_or####use####look######det####razor####a######dep####old####2######dep####old####year######amod####razor####old######amod####razor####electric######prep_at####look####razor######conj_or####use####see######conj_and####look####see######mark####holds####if######nsubj####holds####it######advcl####see####holds######det####charge####the######amod####charge####same######dobj####holds####charge######det####day####the######amod####day####first######prep_as####charge####day######nsubj####had####you######dep####charge####had######dobj####had####it
,,,"while it is an alternative to the ipod and one of the few viable ones its just that , an alternative and why would anyone seek an alternative to something that really needs no alternative choice because theres_nothing wrong and everything right with it .",mark####alternative####while######nsubj####alternative####it######cop####alternative####is######det####alternative####an######advcl####needs####alternative######det####ipod####the######prep_to####alternative####ipod######prep_to####alternative####one######conj_and####ipod####one######det####ones####the######amod####ones####few######amod####ones####viable######prep_of####one####ones######poss####that####its######advmod####that####just######dep####one####that######det####alternative####an######appos####that####alternative######advmod####seek####why######aux####seek####would######advmod####seek####anyone######dep####one####seek######conj_and####that####seek######det####alternative####an######dobj####seek####alternative######prep_to####seek####something######nsubj####needs####that######advmod####needs####really######det####choice####no######amod####choice####alternative######dobj####needs####choice######prepc_because####needs####theres_nothing######amod####right####wrong######conj_and####wrong####everything######amod####right####everything######dobj####theres_nothing####right######prep_with####theres_nothing####it
,,,i 'd like to see how well a small company supports its mp3_player in 2 years when its battery dies as all rechargeable do .,nsubj####like####i######xsubj####see####i######aux####like####'d######aux####see####to######xcomp####like####see######advmod####well####how######advmod####supports####well######det####company####a######amod####company####small######nsubj####supports####company######ccomp####see####supports######poss####mp3_player####its######dobj####supports####mp3_player######num####years####2######prep_in####supports####years######tmod####dies####years######advmod####dies####when######rel####dies####when######poss####battery####its######nsubj####dies####battery######dep####years####dies######mark####do####as######det####rechargeable####all######nsubj####do####rechargeable######advcl####dies####do
software,,,"finally the software used to put all the songs into it is vastly inferior to itunes on two levels , first it is poorly integrated into the overall player and clunky to use especially with tagging and second the wma audio format_sucks , flat out sucks in terms of sound_quality compared with the vastly superior aac format the apple_ipod uses and it sticks you with one of the sub_par paid music_services such as napster instead of allowing to use the itunes_store , which , if you ever plan to pay for your music , is by far the best ."
,,,"before anyone says hey you have n't used the product , i have , my friend received one for christmas instead of an ipod and has since envied me for my vastly superior product .",mark####says####before######nsubj####says####anyone######advcl####have####says######dobj####says####hey######nsubj####used####you######aux####used####have######neg####used####n't######rcmod####hey####used######det####product####the######dobj####used####product######nsubj####have####i######ccomp####received####have######poss####friend####my######nsubj####received####friend######nsubj####envied####friend######dobj####received####one######prep_for####received####christmas######det####ipod####an######prep_instead_of####christmas####ipod######aux####envied####has######advmod####envied####since######conj_and####received####envied######dobj####envied####me######poss####product####my######advmod####superior####vastly######amod####product####superior######prep_for####envied####product
,,,pros :
"price,capacity",,,* price and capacity,dep####price####\*######conj_and####price####capacity
"design,interface",,,* slick-looking design and improved interface,dep####design####\*######amod####design####slick-looking######amod####interface####improved######conj_and####design####interface
battery,,,* removable battery,amod####battery####removable######dep####\*####battery
,,,cons :
case,,,* protective case completely useless as is since it obscures display_window .,dep####is####\*######amod####case####protective######nsubj####is####case######advmod####useless####completely######amod####case####useless######prep####useless####as######mark####obscures####since######nsubj####obscures####it######advcl####is####obscures######dobj####obscures####display_window
,,,had to cut out a window using a swiss army_knife .,aux####cut####to######xcomp####had####cut######prt####cut####out######det####window####a######dobj####cut####window######partmod####window####using######det####army_knife####a######amod####army_knife####swiss######dobj####using####army_knife
,,,how did this gigantic flaw go unnoticed by creative ?,advmod####go####how######aux####go####did######det####flaw####this######amod####flaw####gigantic######nsubj####go####flaw######acomp####go####unnoticed######prep_by####unnoticed####creative
scroll,,,* scroll_button more cumbersome than on earlier models .,dep####\*####scroll_button######advmod####cumbersome####more######acomp####scroll_button####cumbersome######prep####cumbersome####than######dep####than####on######amod####models####earlier######pobj####on####models
,,,does n't always register push-button movement .,aux####register####does######neg####register####n't######advmod####register####always######amod####movement####push-button######dobj####register####movement
eax,,,* eax_equalizer accentuates dimished quality of mp3_files .,advmod####accentuates####eax_equalizer######dep####\*####accentuates######amod####quality####dimished######dobj####accentuates####quality######prep_of####quality####mp3_files
,,,i have to rip everything as a 160 kbps_wma file ( as opposed to 128 kbps mp3 ) to avoid hearing digital garbling .,nsubj####have####i######xsubj####rip####i######xsubj####avoid####i######aux####rip####to######xcomp####have####rip######dobj####rip####everything######det####file####a######num####file####160######nn####file####kbps_wma######prep_as####rip####file######dep####rip####as######amod####mp3####opposed######num####kbps####128######prep_to####opposed####kbps######pobj####as####mp3######aux####avoid####to######xcomp####have####avoid######xcomp####avoid####hearing######amod####garbling####digital######dobj####hearing####garbling
volume,,,"* does not provide enough volume when connected to larger headphones , or external receivers ( car_radio ) .",aux####provide####does######neg####provide####not######dep####\*####provide######amod####volume####enough######dobj####provide####volume######advmod####connected####when######advcl####provide####connected######amod####headphones####larger######prep_to####connected####headphones######amod####receivers####external######prep_to####connected####receivers######conj_or####headphones####receivers######appos####headphones####car_radio
software,,,*_software is absolutely terrible :,amod####software####\*######nn####software####_######nsubj####terrible####software######cop####terrible####is######advmod####terrible####absolutely
transfer,,,"-- > will not automatically transfer songs with identical titles ( if you have live albums or greatest hits albums , this will cause you inordinate frustration ) .",aux####transfer####will######neg####transfer####not######advmod####transfer####automatically######dobj####transfer####songs######amod####titles####identical######prep_with####transfer####titles######mark####have####if######nsubj####have####you######parataxis####transfer####have######amod####albums####live######dobj####have####albums######amod####hits####greatest######dep####albums####hits######parataxis####transfer####albums######conj_or####have####albums######nsubj####cause####this######aux####cause####will######parataxis####transfer####cause######conj_or####have####cause######nsubj####inordinate####you######ccomp####cause####inordinate######dobj####inordinate####frustration
recognition,,,"-- > does not recognize player at random times , despite being connected and displaying player 's library .",aux####recognize####does######neg####recognize####not######dobj####recognize####player######amod####times####random######prep_at####recognize####times######auxpass####connected####being######prepc_despite####recognize####connected######prepc_despite####recognize####displaying######conj_and####connected####displaying######poss####library####player######dobj####displaying####library
change,,,-- > too difficult to change genre /_album /_track information for large number of tracks .,advmod####track####too######dep####too####difficult######nn####_####change######nn####_####genre######nn####_####\/######nn####_####_######nn####_####album######nn####_####\/######prep_to####difficult####_######dobj####track####information######amod####number####large######prep_for####information####number######prep_of####number####tracks
software,,,-- > you 'll be changing track information a lot because the cd_database information utilized by the software is mediocre at best .,nsubj####changing####you######aux####changing####'ll######aux####changing####be######nn####information####track######dobj####changing####information######det####lot####a######dep####information####lot######mark####mediocre####because######det####information####the######amod####information####cd_database######nsubj####mediocre####information######partmod####information####utilized######det####software####the######agent####utilized####software######cop####mediocre####is######advcl####changing####mediocre######prep_at####mediocre####best
,,,"if you have any multi-disc box_sets , you 'll notice that the artist 's name , album_name , and genre will often change with every disc .",mark####have####if######nsubj####have####you######advcl####notice####have######det####box_sets####any######amod####box_sets####multi-disc######dobj####have####box_sets######nsubj####notice####you######aux####notice####'ll######complm####change####that######det####artist####the######poss####name####artist######nsubj####change####name######appos####name####album_name######conj_and####name####genre######nsubj####change####genre######aux####change####will######advmod####change####often######ccomp####notice####change######det####disc####every######prep_with####change####disc
,,,final verdict :,amod####verdict####final
"player,software, rip, transfer",,,a good player at a great price with terrible software that makes ripping and transferring way more difficult than it should be .,det####player####a######amod####player####good######nsubj####be####player######det####price####a######amod####price####great######prep_at####player####price######nsubj####makes####price######amod####software####terrible######prep_with####price####software######rcmod####price####makes######dep####makes####ripping######dep####makes####transferring######conj_and####ripping####transferring######dobj####ripping####way######advmod####difficult####more######dep####ripping####difficult######prep_than####difficult####it######aux####be####should
,,,"after investigating a multitude of player_options , i asked for and received the 60 gb_zen xtra for christmas .",prepc_after####asked####investigating######det####multitude####a######dobj####investigating####multitude######prep_of####multitude####player_options######nsubj####asked####i######nsubj####received####i######prep####asked####for######conj_and####asked####received######det####xtra####the######num####xtra####60######nn####xtra####gb_zen######dobj####received####xtra######prep_for####xtra####christmas
,size,,"despite its being slightly larger than the ipod , i must say i was surprised to see how small it was when i unwrapped the box !",nsubj####larger####its######cop####larger####being######advmod####larger####slightly######prepc_despite####say####larger######det####ipod####the######prep_than####larger####ipod######nsubj####say####i######aux####say####must######nsubj####surprised####i######cop####surprised####was######ccomp####say####surprised######aux####see####to######xcomp####surprised####see######advmod####was####how######dep####how####small######nsubj####was####it######ccomp####see####was######advmod####unwrapped####when######nsubj####unwrapped####i######advcl####was####unwrapped######det####box####the######dobj####unwrapped####box
cd rip,,,"i am ripping my cd_collection into 160 kbps wma files ; this gives an average of around 60-65 mb per cd , good for about 900 cds in the ~ 57,000 mb of free memory available to me .",nsubj####ripping####i######aux####ripping####am######poss####cd_collection####my######dobj####ripping####cd_collection######num####files####160######amod####files####kbps######nn####files####wma######prep_into####ripping####files######nsubj####gives####this######parataxis####ripping####gives######det####average####an######nsubj####available####average######advmod####mb####around######num####mb####60-65######prep_of####average####mb######prep_per####mb####cd######amod####mb####good######quantmod####900####about######num####cds####900######prep_for####good####cds######det####mb####the######nn####mb####~######num####mb########000######prep_in####cds####mb######amod####memory####free######prep_of####mb####memory######xcomp####gives####available######prep_to####available####me
transfter,,,"file_transfers are fast , nearly a song per second via usb 2.0 .",nsubj####fast####file_transfers######cop####fast####are######advmod####fast####nearly######det####song####a######dep####nearly####song######dep####nearly####per######pobj####per####second######prep_via####second####usb######num####usb####2.0
,,,several people have complained of difficulty transferring multiple songs with the same title .,amod####people####several######nsubj####complained####people######aux####complained####have######prep_of####complained####difficulty######xcomp####complained####transferring######amod####songs####multiple######dobj####transferring####songs######det####title####the######amod####title####same######prep_with####transferring####title
,,,this is possible ! !
,,,"since the zen_xtra does not use a folder_structure , the `` duplicate_name `` problem stems from the actual file_name , not from the song 's title / artist_/ album .",mark####use####since######det####zen_xtra####the######nsubj####use####zen_xtra######aux####use####does######neg####use####not######advcl####stems####use######det####folder_structure####a######dobj####use####folder_structure######det####problem####the######nn####problem####duplicate_name######nsubj####stems####problem######det####file_name####the######amod####file_name####actual######prep_from####stems####file_name######dep####stems####not######dep####stems####from######det####song####the######poss####artist####song######nn####artist####title######nn####artist####\/######pobj####from####artist######partmod####artist####_######amod####album####\/######dobj####_####album
,,,solution ?
,,,"simply configure the mediasource_software ( or windows media_player , or your ripper-du-jour ) to create file names that include artist and ( especially ) album_names in addition to track names .",advmod####configure####simply######det####mediasource_software####the######nsubj####create####mediasource_software######dep####windows####or######dep####mediasource_software####windows######dep####windows####media_player######poss####ripper-du-jour####your######dep####mediasource_software####ripper-du-jour######conj_or####windows####ripper-du-jour######aux####create####to######xcomp####configure####create######nn####names####file######dobj####create####names######nsubj####include####names######nsubj####album_names####names######rcmod####names####include######dobj####include####artist######dep####include####especially######rcmod####names####album_names######conj_and####include####album_names######prep_in####album_names####addition######aux####track####to######xcomp####album_names####track######dobj####track####names
,,,"using this method , i have not once encountered a situation where a track was rejected , and i have plenty of duplicate_tracks on live and compilation_albums .",dep####encountered####using######det####method####this######dobj####using####method######nsubj####encountered####i######aux####encountered####have######neg####encountered####not######advmod####encountered####once######det####situation####a######dobj####encountered####situation######advmod####rejected####where######det####track####a######nsubjpass####rejected####track######auxpass####rejected####was######advcl####encountered####rejected######nsubj####have####i######nsubj####compilation_albums####i######conj_and####encountered####have######dobj####have####plenty######prep_of####plenty####duplicate_tracks######prep_on####duplicate_tracks####live######conj_and####encountered####compilation_albums######conj_and####have####compilation_albums
,,,"even if there happened to be identical track_titles on the same disc , you could still edit the file_name manually and get them both onto the player .",advmod####happened####even######dep####happened####if######expl####happened####there######xsubj####track_titles####there######advcl####edit####happened######aux####track_titles####to######cop####track_titles####be######amod####track_titles####identical######xcomp####happened####track_titles######det####disc####the######amod####disc####same######prep_on####track_titles####disc######nsubj####edit####you######nsubj####get####you######aux####edit####could######advmod####edit####still######det####file_name####the######dobj####edit####file_name######advmod####edit####manually######conj_and####edit####get######dobj####get####them######dep####get####both######det####player####the######prep_onto####get####player
software,,,"my one issue with the mediasource_software is that , despite pulling id3 tag_data from the cdds_service , the ripping process_fails to populate the `` year `` field .",poss####issue####my######num####issue####one######nsubj####is####issue######det####mediasource_software####the######prep_with####issue####mediasource_software######complm####process_fails####that######prepc_despite####process_fails####pulling######amod####tag_data####id3######dobj####pulling####tag_data######det####cdds_service####the######prep_from####pulling####cdds_service######det####ripping####the######nsubj####process_fails####ripping######xsubj####populate####ripping######ccomp####is####process_fails######aux####populate####to######xcomp####process_fails####populate######det####year####the######dobj####populate####year######iobj####populate####year######dep####year####field
,,,weird .
,,,how does it sound ?,advmod####sound####how######aux####sound####does######nsubj####sound####it
sound,,,"to my ears , a 160 kbps_wma file sounds just as good as the source_cd , and the zen_xtra sounds just as good as a portable cd_player .",dep####sounds####to######poss####ears####my######pobj####to####ears######det####file####a######num####file####160######nn####file####kbps_wma######nsubj####sounds####file######advmod####good####just######advmod####good####as######acomp####sounds####good######det####source_cd####the######prep_as####good####source_cd######det####zen_xtra####the######nsubj####sounds####zen_xtra######conj_and####sounds####sounds######advmod####good####just######advmod####good####as######acomp####sounds####good######det####cd_player####a######amod####cd_player####portable######prep_as####good####cd_player
,,,no complaints there .,det####complaints####no######dep####there####complaints
eax,,,"the eax_features are pretty cool , as well , as creative has included a number of eq adjustments that , for example , compensate for the extraneous noise encountered in a car or on a train .",det####eax_features####the######nsubj####cool####eax_features######cop####cool####are######advmod####cool####pretty######advmod####well####as######advmod####cool####well######mark####included####as######nsubj####included####creative######aux####included####has######advcl####cool####included######det####number####a######dobj####included####number######nn####adjustments####eq######prep_of####number####adjustments######complm####encountered####that######prep_for####encountered####example######csubj####encountered####compensate######csubj####encountered####compensate######det####noise####the######amod####noise####extraneous######prep_for####compensate####noise######ccomp####included####encountered######ccomp####included####encountered######conj_or####encountered####encountered######det####car####a######prep_in####encountered####car######det####train####a######prep_on####encountered####train
navigation,,,"navigation could be better , but there is n't really anything the zen_xtra can 't do once you 've gotten comfortable with it .",nsubj####better####navigation######nsubj####is####navigation######aux####better####could######cop####better####be######expl####is####there######conj_but####better####is######neg####is####n't######advmod####is####really######acomp####is####anything######det####can####the######nn####can####zen_xtra######poss####t####can######nsubj####do####t######ccomp####anything####do######mark####gotten####once######nsubj####gotten####you######aux####gotten####'ve######advcl####do####gotten######dep####gotten####comfortable######prep_with####gotten####it
player,,,"at the end of the day , what i wanted was a large-capacity_player which allows me to easily play any album from my collection_wherever i go , and the zen_xtra 's combination of price , capacity and features easily meets those criteria .",det####end####the######prep_at####go####end######det####day####the######prep_of####end####day######nsubj####large-capacity_player####day######rel####wanted####what######nsubj####wanted####i######rcmod####day####wanted######cop####large-capacity_player####was######det####large-capacity_player####a######ccomp####wanted####large-capacity_player######nsubj####allows####large-capacity_player######rcmod####large-capacity_player####allows######nsubj####play####me######aux####play####to######advmod####play####easily######xcomp####allows####play######det####album####any######dobj####play####album######poss####collection_wherever####my######prep_from####play####collection_wherever######nsubj####go####i######det####zen_xtra####the######poss####combination####zen_xtra######nsubj####meets####combination######prep_of####combination####price######prep_of####combination####capacity######conj_and####price####capacity######prep_of####combination####features######conj_and####price####features######advmod####meets####easily######conj_and####go####meets######det####criteria####those######dobj####meets####criteria
,,this,"i got this for christmas , and it is a great gift .",nsubj####got####i######dobj####got####this######prep_for####this####christmas######nsubj####gift####it######cop####gift####is######det####gift####a######amod####gift####great######conj_and####got####gift
use,,,"i have been ripping songs into it for the past few weeks , and the ease of use is wonderful .",nsubj####ripping####i######aux####ripping####have######aux####ripping####been######dobj####ripping####songs######prep_into####ripping####it######det####weeks####the######amod####weeks####past######amod####weeks####few######prep_for####it####weeks######det####ease####the######nsubj####wonderful####ease######prep_of####ease####use######cop####wonderful####is######conj_and####ripping####wonderful
memory,,,"the memory will hold an amazing amount of songs , my entire collection of cd 's will all fit on this great little tiny piece of digital fun .",det####memory####the######nsubj####hold####memory######aux####hold####will######ccomp####fit####hold######det####amount####an######amod####amount####amazing######dobj####hold####amount######prep_of####amount####songs######poss####collection####my######amod####collection####entire######nsubj####fit####collection######prep_of####collection####cd######aux####fit####will######advmod####fit####all######det####piece####this######amod####piece####great######amod####piece####little######amod####piece####tiny######prep_on####fit####piece######amod####fun####digital######prep_of####piece####fun
"battery,sound",,,plusses are the easy to remove battery and the terrific sound produced by the nomad .,nsubj####battery####plusses######cop####battery####are######det####battery####the######amod####battery####easy######aux####remove####to######xcomp####easy####remove######det####sound####the######amod####sound####terrific######conj_and####battery####sound######partmod####sound####produced######det####nomad####the######agent####produced####nomad
"software,case",,,"the only two things that stop me from giving it 5 stars are the ho-hum software that comes with the system , and the traveling case it comes with .",det####things####the######amod####things####only######num####things####two######nsubj####stop####things######nsubj####software####things######rcmod####things####stop######dobj####stop####me######prepc_from####stop####giving######iobj####giving####it######num####stars####5######dobj####giving####stars######cop####software####are######det####software####the######amod####software####ho-hum######nsubj####comes####software######dep####comes####software######rcmod####software####comes######det####system####the######prep_with####comes####system######det####case####the######amod####case####traveling######prep_with####comes####case######conj_and####system####case######nsubj####comes####it######prep####comes####with
,,,this is a powerful piece of equipment .,nsubj####piece####this######cop####piece####is######det####piece####a######amod####piece####powerful######prep_of####piece####equipment
,,,it is great to no longer wonder what music_i want to take with me for a cross country_flight or a two week_trip - now i just take everything .,nsubj####great####it######cop####great####is######aux####wonder####to######advmod####longer####no######advmod####wonder####longer######xcomp####great####wonder######dep####want####what######nsubj####want####music_i######xsubj####take####music_i######ccomp####wonder####want######aux####take####to######xcomp####want####take######prep_with####take####me######det####country_flight####a######amod####country_flight####cross######prep_for####take####country_flight######det####week_trip####a######num####week_trip####two######prep_for####take####week_trip######conj_or####country_flight####week_trip######advmod####take####now######nsubj####take####i######advmod####take####just######parataxis####great####take######dobj####take####everything
"rip, quality",,,"ripping the songs , even with my 1.1 usb connection is still very quick , and the quality is very good .",csubj####quick####ripping######det####songs####the######dobj####ripping####songs######advmod####ripping####even######poss####connection####my######num####connection####1.1######nn####connection####usb######prep_with####ripping####connection######cop####quick####is######advmod####quick####still######advmod####quick####very######det####quality####the######nsubj####good####quality######cop####good####is######advmod####good####very######conj_and####quick####good
player,,,"considering the price and specs , this might be the best buy out there for a large memory_mp3 player .",dep####buy####considering######det####price####the######dobj####considering####price######dobj####considering####specs######conj_and####price####specs######nsubj####buy####this######aux####buy####might######cop####buy####be######det####buy####the######amod####buy####best######prep####buy####out######pobj####out####there######det####player####a######amod####player####large######amod####player####memory_mp3######prep_for####there####player
,,,"before jumping on the ipod_train , take a look at this marvel .",prepc_before####take####jumping######det####ipod_train####the######prep_on####jumping####ipod_train######det####look####a######dobj####take####look######det####marvel####this######prep_at####take####marvel
