phone,,,i bought this slick_phone and i am very happy with it .,nsubj####bought####i######det####slick_phone####this######nsubj####happy####slick_phone######conj_and####slick_phone####i######nsubj####happy####i######cop####happy####am######advmod####happy####very######ccomp####bought####happy######prep_with####happy####it
"game,ringtone",size,,"nice and small and excellent when it comes to downloading games , graphics and ringtones from www.crazycellphone.com",conj_and####nice####small######conj_and####nice####excellent######advmod####comes####when######nsubj####comes####it######xsubj####downloading####it######ccomp####nice####comes######aux####downloading####to######xcomp####comes####downloading######dobj####downloading####games######dobj####downloading####graphics######conj_and####games####graphics######dobj####downloading####ringtones######conj_and####games####ringtones######prep_from####downloading####www.crazycellphone.com
phone,,,i just purchased this phone and i think this is the coolest phone_i ever had .,nsubj####purchased####i######advmod####purchased####just######det####phone####this######nsubj####think####phone######conj_and####phone####i######nsubj####think####i######ccomp####purchased####think######nsubjpass####had####this######auxpass####had####is######det####phone_i####the######amod####phone_i####coolest######dep####ever####phone_i######advmod####had####ever######ccomp####think####had
radio,,,the features are really cool like the radio .,det####features####the######nsubj####cool####features######cop####cool####are######advmod####cool####really######det####radio####the######prep_like####cool####radio
radio,,,the first night_i got this phone_i put it next to me when i went to bed just to listen to my favorite music_station and the handset itself doesnt weight anything its too light and feel so comfy with it .,det####night_i####the######amod####night_i####first######nsubj####got####night_i######det####phone_i####this######nsubj####put####phone_i######ccomp####got####put######nsubj####went####it######prep_next_to####went####me######advmod####went####when######nsubj####went####i######xsubj####listen####i######xcomp####put####went######prep_to####went####bed######advmod####went####just######aux####listen####to######xcomp####went####listen######poss####music_station####my######amod####music_station####favorite######prep_to####listen####music_station######det####anything####the######amod####anything####handset######measure####doesnt####itself######amod####anything####doesnt######nn####anything####weight######prep_to####listen####anything######conj_and####music_station####anything######poss####comfy####its######advmod####light####too######amod####comfy####light######conj_and####light####feel######amod####comfy####feel######advmod####feel####so######dobj####listen####comfy######prep_with####comfy####it
speaker,,,"technology_wise , i think this is awesome plus the speaker makes it even great ! ! ! ! i love this phone ! ! !"
,,,why i do n't can this product without a plan ?,advmod####do####why######nsubj####do####i######csubj####product####do######neg####do####n't######aux####product####can######det####product####this######det####plan####a######prep_without####product####plan
,,,i 'm live in brazil and i need very to buy this product without a plan to use in here in other operators .,nsubj####live####i######cop####live####'m######prep_in####live####brazil######nsubj####need####i######conj_and####live####need######acomp####need####very######aux####buy####to######xcomp####very####buy######det####product####this######dobj####buy####product######det####plan####a######prep_without####buy####plan######aux####use####to######infmod####plan####use######prep####use####in######pobj####in####here######amod####operators####other######prep_in####use####operators
,,,i 'm pay in auto-debit in my account .,nsubj####pay####i######cop####pay####'m######prep_in####pay####auto-debit######poss####account####my######prep_in####auto-debit####account
,,,"please , if anyone want sell to me this cell_phone in my conditions , i 'm wait very happy .",dep####'m####please######mark####want####if######nsubj####want####anyone######advcl####'m####want######xcomp####want####sell######prep_to####sell####me######det####cell_phone####this######dobj####sell####cell_phone######poss####conditions####my######prep_in####cell_phone####conditions######nsubj####'m####i######ccomp####'m####wait######advmod####happy####very######acomp####wait####happy
,,,thanks !
"phone,gsm",,,"i thought this was the ultimate phone when it comes to basic features , but i was dissapointed when i saw that it was only a gsm comaptible phone .",nsubj####thought####i######nsubj####phone####this######cop####phone####was######det####phone####the######amod####phone####ultimate######ccomp####thought####phone######tmod####comes####phone######advmod####comes####when######rel####comes####when######nsubj####comes####it######dep####phone####comes######amod####features####basic######prep_to####comes####features######nsubjpass####dissapointed####i######auxpass####dissapointed####was######conj_but####thought####dissapointed######advmod####saw####when######nsubj####saw####i######advcl####dissapointed####saw######complm####phone####that######nsubj####phone####it######cop####phone####was######advmod####phone####only######det####phone####a######nn####phone####gsm######nn####phone####comaptible######ccomp####saw####phone
,,,"as i travel quite a lot , i 'd want something with gsm as well as cdma tri-band .",mark####travel####as######nsubj####travel####i######advcl####want####travel######advmod####travel####quite######dep####lot####a######dep####quite####lot######nsubj####want####i######aux####want####'d######dobj####want####something######prep_with####want####gsm######nn####tri-band####cdma######prep_with####want####tri-band######conj_and####gsm####tri-band
phone,,,"for a specific location , i still think its a great phone .",det####location####a######amod####location####specific######prep_for####think####location######nsubj####think####i######advmod####think####still######poss####phone####its######dep####great####a######amod####phone####great######dobj####think####phone
,,,i think that it is a were good mobile phone and i may buy it .,dep####think####i######complm####a####that######nsubj####a####it######cop####a####is######ccomp####think####a######cop####phone####were######amod####phone####good######amod####phone####mobile######dep####a####phone######nsubj####buy####i######aux####buy####may######dep####a####buy######conj_and####phone####buy######dobj####buy####it
"phone,screen,ergonomics",size,,"this really is a great little phone ; its got nice features , a beatiful screen , great ergonomics , and its tiny !",nsubj####phone####this######advmod####phone####really######cop####phone####is######det####phone####a######amod####phone####great######amod####phone####little######nsubj####got####its######parataxis####phone####got######amod####features####nice######dobj####got####features######det####screen####a######amod####screen####beatiful######dobj####got####screen######conj_and####features####screen######amod####ergonomics####great######dobj####got####ergonomics######conj_and####features####ergonomics######poss####tiny####its######dobj####got####tiny######conj_and####features####tiny
,,,"i waited a few years between phones , mostly because ( like most i think ) i didnt really need one .",nsubj####waited####i######det####years####a######amod####years####few######dobj####waited####years######prep_between####years####phones######advmod####need####mostly######dep####need####because######mark####think####like######amod####i####most######nsubj####think####i######parataxis####need####think######amod####didnt####i######nsubj####need####didnt######advmod####need####really######dep####waited####need######dobj####need####one
size,,,"this phone won me over , and a big seller was the size ; it fits nicely into any pocket without falling out .",det####phone####this######nsubj####won####phone######dobj####won####me######prt####won####over######det####seller####a######amod####seller####big######nsubj####size####seller######cop####size####was######det####size####the######conj_and####won####size######nsubj####fits####it######parataxis####won####fits######advmod####fits####nicely######dep####nicely####into######det####pocket####any######pobj####into####pocket######prepc_without####fits####falling######prt####falling####out
,,,"the downside though , may be a big one for you .",det####downside####the######nsubj####one####downside######advmod####downside####though######aux####one####may######cop####one####be######det####one####a######amod####one####big######prep_for####one####you
,volume,,its quiet .,poss####quiet####its
,,,really quiet .,advmod####quiet####really
,,,grandma in church_quiet .,prep_in####grandma####church_quiet
,,,"i 've gotten used to it ( holding it in just the right realation to the ear , ducking into quieter places in bars ) but when others borrow it they 're shocked i can use it .",nsubj####gotten####i######aux####gotten####'ve######ccomp####gotten####used######prep_to####used####it######dep####gotten####holding######dobj####holding####it######advmod####realation####just######det####realation####the######amod####realation####right######prep_in####holding####realation######det####ear####the######prep_to####realation####ear######dep####holding####ducking######nn####places####quieter######prep_into####ducking####places######prep_in####places####bars######advmod####borrow####when######nsubj####borrow####others######dep####shocked####borrow######dobj####borrow####it######nsubj####shocked####they######cop####shocked####'re######conj_but####gotten####shocked######nsubj####use####i######aux####use####can######ccomp####shocked####use######dobj####use####it
,,,"so , i recomend it , but not for those that have any hearing_troubles , or for those that like to talk a lot in crowded public places ( which is annoying , by the way . )",advmod####recomend####so######nsubj####recomend####i######dobj####recomend####it######conj_but####recomend####not######prep_for####not####those######nsubj####have####those######rcmod####those####have######det####hearing_troubles####any######dobj####have####hearing_troubles######prep_for####not####those######conj_or####those####those######nsubj####like####those######rcmod####those####like######aux####talk####to######xcomp####like####talk######det####lot####a######dobj####talk####lot######amod####places####crowded######amod####places####public######prep_in####talk####places######nsubj####annoying####which######cop####annoying####is######rcmod####places####annoying######det####way####the######prep_by####places####way
,,,i bought this phone when it first came out in the summer .,nsubj####bought####i######det####phone####this######dobj####bought####phone######advmod####came####when######nsubj####came####it######advmod####came####first######advcl####bought####came######prt####came####out######det####summer####the######prep_in####came####summer
,,,"prior to my switch to t-mobile , sprint was my service_provider .",poss####switch####my######prep_prior_to####service_provider####switch######aux####t-mobile####to######infmod####switch####t-mobile######nsubj####service_provider####sprint######cop####service_provider####was######poss####service_provider####my
,,,"to say the least , i was horribly dissatisified with my service with sprint , which was why t-mobile was so fantastically refreshing .",aux####say####to######dep####dissatisified####say######det####least####the######dobj####say####least######nsubjpass####dissatisified####i######auxpass####dissatisified####was######advmod####dissatisified####horribly######poss####service####my######prep_with####dissatisified####service######prep_with####dissatisified####sprint######nsubj####was####sprint######rcmod####sprint####was######advmod####refreshing####why######nsubj####refreshing####t-mobile######cop####refreshing####was######advmod####refreshing####so######advmod####refreshing####fantastically######advcl####was####refreshing
,,,"my past two phones were all flip phones , and i was beginning to tire of them .",poss####past####my######nsubj####phones####past######num####phones####two######dep####past####phones######cop####phones####were######advmod####phones####all######amod####phones####flip######nsubj####beginning####i######aux####beginning####was######conj_and####phones####beginning######prep_to####beginning####tire######prep_of####tire####them
nokia,,,"nokia was my first nonflip_phone , and i 'm glad i decided to go with them .",nsubj####nonflip_phone####nokia######cop####nonflip_phone####was######poss####nonflip_phone####my######amod####nonflip_phone####first######nsubj####glad####i######cop####glad####'m######conj_and####nonflip_phone####glad######nsubj####decided####i######xsubj####go####i######ccomp####glad####decided######aux####go####to######xcomp####decided####go######prep_with####go####them
,volume,,"first of all , my calls were loud and clear , unlike with sprint .",dep####loud####first######prep_of####loud####all######poss####calls####my######nsubj####loud####calls######nsubj####clear####calls######cop####loud####were######conj_and####loud####clear######conj_and####loud####unlike######prep####loud####unlike######dep####unlike####with######pobj####with####sprint
,reception,,i could make phone_calls from locations i previously could not ( like my apartment ) .,nsubj####make####i######aux####make####could######dobj####make####phone_calls######prep_from####make####locations######dobj####could####locations######nsubj####could####i######advmod####could####previously######rcmod####locations####could######neg####could####not######dep####make####like######poss####apartment####my######pobj####like####apartment
"weight,design",size,,"the phone is small , light , and very attractive .",det####phone####the######nsubj####small####phone######nsubj####light####phone######nsubj####attractive####phone######cop####small####is######conj_and####small####light######advmod####attractive####very######conj_and####small####attractive
battery life,,,the battery_life is amazing .,det####battery_life####the######nsubj####amazing####battery_life######cop####amazing####is
"color screen,ringtone",,,"the color_screen is a plus , as are the polyphonic ringtones .",det####color_screen####the######nsubj####plus####color_screen######cop####plus####is######det####plus####a######mark####ringtones####as######cop####ringtones####are######det####ringtones####the######amod####ringtones####polyphonic######dep####plus####ringtones
phone,,,"i 'm not one who uses web_browsing , so this phone easily met and surpassed my needs .",nsubj####one####i######cop####one####'m######neg####one####not######nsubj####uses####one######rcmod####one####uses######xcomp####uses####web_browsing######dep####one####so######det####phone####this######nsubj####met####phone######nsubj####surpassed####phone######advmod####met####easily######ccomp####one####met######ccomp####one####surpassed######conj_and####met####surpassed######poss####needs####my######dobj####surpassed####needs
,,phone,i highly recommend this phone to anyone .,dep####recommend####i######advmod####recommend####highly######det####phone####this######dobj####recommend####phone######prep_to####recommend####anyone
,,,i 've yet to be dissappointed .,nsubj####'ve####i######xsubj####dissappointed####i######advmod####'ve####yet######aux####dissappointed####to######auxpass####dissappointed####be######xcomp####'ve####dissappointed
,,,"nokia 6610 ( sound quality ) the phone is great with very cool features & # 38 ; options , but comparing to my older motorola_phone , it gets a failing_grade in speaker_quality .",dobj####great####nokia######num####nokia####6610######dep####nokia####sound######dep####sound####quality######det####phone####the######nsubj####great####phone######cop####great####is######dep####gets####great######advmod####cool####very######amod####features####cool######prep_with####great####features######dep####38###########prep_with####great####38######conj_and####features####38######dep####features####options######prep####options####but######dep####but####comparing######poss####motorola_phone####my######amod####motorola_phone####older######prep_to####comparing####motorola_phone######nsubj####gets####it######det####failing_grade####a######dobj####gets####failing_grade######prep_in####failing_grade####speaker_quality
"sound,volume",,,"i do here a constant high-pitched distorted sound , not to mention the volume does not seem to be loud enough .",dep####do####i######advmod####do####here######det####high-pitched####a######amod####high-pitched####constant######dobj####do####high-pitched######xsubj####mention####high-pitched######partmod####high-pitched####distorted######dobj####distorted####sound######neg####mention####not######aux####mention####to######xcomp####distorted####mention######det####volume####the######nsubj####seem####volume######xsubj####be####volume######aux####seem####does######neg####seem####not######ccomp####mention####seem######aux####be####to######xcomp####seem####be######advmod####enough####loud######advmod####be####enough
,,,"it 's going back today , & # 38 ; being replaced with the new samsung_x105 .",nsubj####going####it######aux####going####'s######prt####going####back######dobj####going####today######dep####38###########dobj####going####38######conj_and####today####38######auxpass####replaced####being######dobj####going####replaced######conj_and####today####replaced######det####samsung_x105####the######amod####samsung_x105####new######prep_with####replaced####samsung_x105
,,,you do take your chances with this phone .,nsubj####take####you######aux####take####do######poss####chances####your######dobj####take####chances######det####phone####this######prep_with####take####phone
,,,"i considered this phone ( nokia 6610 ) , mainly because of my sister and the features .",nsubj####considered####i######det####phone####this######dobj####considered####phone######appos####phone####nokia######num####nokia####6610######dep####phone####mainly######poss####sister####my######prep_because_of####phone####sister######det####features####the######prep_because_of####phone####features######conj_and####sister####features
"phone, feature",,,"it is a great phone , if you are traveling all over the world , packed with wonderful features .",nsubj####phone####it######cop####phone####is######det####phone####a######amod####phone####great######mark####traveling####if######nsubj####traveling####you######aux####traveling####are######advcl####phone####traveling######dobj####traveling####all######det####world####the######prep_over####all####world######partmod####world####packed######amod####features####wonderful######prep_with####packed####features
,,,"truly , i am quite impressed . . ! !"
battery life,weight,,"this is a very light phone - a little less than 3 oz , with long battery_life ( not as long as the new polymer_technology ) .",nsubj####phone####this######cop####phone####is######det####phone####a######advmod####light####very######amod####phone####light######det####oz####a######amod####oz####little######dep####than####less######quantmod####3####than######num####oz####3######dep####phone####oz######amod####battery_life####long######prep_with####oz####battery_life######neg####long####not######advmod####long####as######dep####battery_life####long######det####polymer_technology####the######amod####polymer_technology####new######prep_as####long####polymer_technology
,,,"on an average , you would charge it once a week .",det####average####an######prep_on####charge####average######nsubj####charge####you######aux####charge####would######dobj####charge####it######advmod####charge####once######det####week####a######tmod####charge####week
speakerphone,,,"the hands-free speakerphone is quite powerful ( like the motorola_phone , i used to own ) .",det####speakerphone####the######amod####speakerphone####hands-free######nsubj####powerful####speakerphone######cop####powerful####is######advmod####powerful####quite######dep####powerful####like######det####motorola_phone####the######pobj####like####motorola_phone######appos####motorola_phone####i######xsubj####own####i######partmod####i####used######aux####own####to######xcomp####used####own
,,speakerphone,i simply love this feature .,dep####love####i######advmod####love####simply######det####feature####this######dobj####love####feature
headset,,,in addition it comes with a sleek and powerful headset .,prep_in####comes####addition######nsubj####comes####it######det####headset####a######amod####headset####sleek######conj_and####sleek####powerful######amod####headset####powerful######prep_with####comes####headset
radio,,,the built in fm_radio is excellent for people traveling by public transport .,det####fm_radio####the######amod####fm_radio####built######dep####built####in######nsubj####excellent####fm_radio######cop####excellent####is######prep_for####excellent####people######partmod####people####traveling######amod####transport####public######agent####traveling####transport
,,,"if you buy the stereo_headset , you will enjoy it much more .",mark####buy####if######nsubj####buy####you######advcl####enjoy####buy######det####stereo_headset####the######dobj####buy####stereo_headset######nsubj####enjoy####you######aux####enjoy####will######nsubj####more####it######advmod####more####much######xcomp####enjoy####more
pc sync,,,the pc_sync feature is superb that comes with nokia pc_suite software ( with data_cable or infrared port or bluetooth ) .,det####feature####the######amod####feature####pc_sync######nsubj####superb####feature######cop####superb####is######complm####comes####that######ccomp####superb####comes######nn####software####nokia######nn####software####pc_suite######prep_with####comes####software######dep####comes####with######amod####port####data_cable######conj_or####data_cable####infrared######amod####port####infrared######pobj####with####port######pobj####with####bluetooth######conj_or####port####bluetooth
,,,"no more hazzles of keying in all data , using the small phone_keypad .",det####hazzles####no######amod####hazzles####more######prepc_of####hazzles####keying######det####data####all######prep_in####keying####data######dep####keying####using######det####phone_keypad####the######amod####phone_keypad####small######dobj####using####phone_keypad
,,,"just maintain them ( phonebook , calendar and to-do list ) in ms outlook or lotus_notes and transfer_data back and forth .",advmod####maintain####just######nsubj####maintain####them######nn####list####phonebook######conj_and####phonebook####calendar######nn####list####calendar######conj_and####phonebook####to-do######nn####list####to-do######appos####them####list######nn####outlook####ms######prep_in####maintain####outlook######prep_in####maintain####lotus_notes######conj_or####outlook####lotus_notes######conj_or####outlook####transfer_data######conj_and####lotus_notes####transfer_data######advmod####maintain####back######advmod####maintain####forth######conj_and####back####forth
"tone,wallpaper,application",,,"additionally , it has more fun stuff like more tones , wallpapers , screensaver , stop clock , alarm , java_applications ( chess , currency_converter etc. )",advmod####has####additionally######nsubj####has####it######amod####stuff####more######nn####stuff####fun######dobj####has####stuff######amod####tones####more######prep_like####stuff####tones######appos####tones####wallpapers######appos####tones####screensaver######nn####clock####stop######appos####tones####clock######appos####tones####alarm######appos####tones####java_applications######appos####tones####chess######nn####etc.####currency_converter######dep####chess####etc.
"message,picture sharing",,,"the mobile text_messaging , chat , picture sharing etc . other nicities , that you would enjoy .",amod####nicities####other######dep####enjoy####that######nsubj####enjoy####you######aux####enjoy####would######dep####nicities####enjoy
mms,,,"the mms_technology is very well integrated with this phone , which you will enjoy .",det####mms_technology####the######nsubj####integrated####mms_technology######aux####integrated####is######advmod####well####very######advmod####integrated####well######det####phone####this######prep_with####integrated####phone######dobj####enjoy####phone######rel####enjoy####which######nsubj####enjoy####you######aux####enjoy####will######rcmod####phone####enjoy
,,,the built-in camera they offer these days is more of kids_stuff .,det####camera####the######amod####camera####built-in######nsubj####more####camera######nsubj####offer####they######rcmod####camera####offer######det####days####these######tmod####offer####days######cop####more####is######prep_of####more####kids_stuff
,,,"if you have a good digital_camera , there is no reason to consider the camera_capabilities of a mobile phone .",mark####have####if######nsubj####have####you######advcl####is####have######det####digital_camera####a######amod####digital_camera####good######dobj####have####digital_camera######expl####is####there######det####reason####no######nsubj####is####reason######aux####consider####to######infmod####reason####consider######det####camera_capabilities####the######dobj####consider####camera_capabilities######det####phone####a######amod####phone####mobile######prep_of####camera_capabilities####phone
,,,"however , if you are keen , you can attach a camera to this phone .",advmod####attach####however######mark####keen####if######nsubj####keen####you######cop####keen####are######advcl####attach####keen######nsubj####attach####you######aux####attach####can######det####camera####a######dobj####attach####camera######det####phone####this######prep_to####attach####phone
,,,"i have not yet discovered the internet features yet , which i will be doing soon .",nsubj####discovered####i######aux####discovered####have######neg####discovered####not######advmod####discovered####yet######det####features####the######amod####features####internet######dobj####discovered####features######advmod####discovered####yet######dobj####doing####which######nsubj####doing####i######aux####doing####will######aux####doing####be######dep####discovered####doing######advmod####doing####soon
,,,"i felt that i should write this comment asap , as i am quite excited in using its features .",nsubj####felt####i######complm####write####that######nsubj####write####i######aux####write####should######ccomp####felt####write######det####asap####this######nn####asap####comment######dobj####write####asap######mark####excited####as######nsubj####excited####i######cop####excited####am######advmod####excited####quite######advcl####felt####excited######prepc_in####excited####using######poss####features####its######dobj####using####features
phone,,,"i can recommend this phone to anyone , anytime .",nsubj####recommend####i######aux####recommend####can######det####phone####this######dobj####recommend####phone######prep_to####recommend####anyone######appos####anyone####anytime
,,,"after using the bulky 3650 for three weeks , i searched for a smaller alternative .",prepc_after####searched####using######det####3650####the######amod####3650####bulky######dobj####using####3650######num####weeks####three######prep_for####using####weeks######nsubj####searched####i######det####alternative####a######amod####alternative####smaller######prep_for####searched####alternative
,,,i was immediately interested in the 6610 .,nsubj####interested####i######cop####interested####was######advmod####interested####immediately######det####6610####the######prep_in####interested####6610
,,,i have used this phone for two months now .,dep####used####i######aux####used####have######det####phone####this######dobj####used####phone######num####months####two######prep_for####phone####months######advmod####used####now
"size,feature",,,"not only is it the perfect size ( not too small , not too large ) , it also has all the features a high-tech phone_user would want .",dep####has####not######dep####not####only######cop####it####is######dep####has####it######det####size####the######amod####size####perfect######nsubj####it####size######dep####size####not######advmod####small####too######dep####not####small######neg####not####not######advmod####large####too######dep####not####large######nsubj####has####it######advmod####has####also######predet####features####all######det####features####the######dobj####has####features######dobj####want####features######det####phone_user####a######amod####phone_user####high-tech######nsubj####want####phone_user######aux####want####would######rcmod####features####want
,,,"if you can live without an integrated camera , you wo n't miss much more .",mark####live####if######nsubj####live####you######aux####live####can######advcl####miss####live######det####camera####an######amod####camera####integrated######prep_without####live####camera######nsubj####miss####you######aux####miss####wo######neg####miss####n't######advmod####miss####much######advmod####much####more
use,,,"in true nokia style , the phone is simple to use and despite its delicate appearance , this little guy is as durable as other nokias_i have owned .",dep####simple####in######amod####style####true######nn####style####nokia######pobj####in####style######det####phone####the######nsubj####simple####phone######cop####simple####is######aux####use####to######xcomp####simple####use######poss####appearance####its######amod####appearance####delicate######prep_despite####durable####appearance######det####guy####this######amod####guy####little######nsubj####durable####guy######cop####durable####is######advmod####durable####as######conj_and####simple####durable######mark####owned####as######amod####nokias_i####other######nsubj####owned####nokias_i######aux####owned####have######advcl####durable####owned
"phone book,speakerphone",,,the phone_book is very user-friendly and the speakerphone is excellent .,det####phone_book####the######nsubj####user-friendly####phone_book######cop####user-friendly####is######advmod####user-friendly####very######det####speakerphone####the######nsubj####excellent####speakerphone######cop####excellent####is######conj_and####user-friendly####excellent
radio,,,"even better , with the optional headset you can listen to music over the integrated radio .",advmod####better####even######advmod####listen####better######det####headset####the######amod####headset####optional######prep_with####listen####headset######nsubj####listen####you######aux####listen####can######prep_to####listen####music######det####radio####the######amod####radio####integrated######prep_over####listen####radio
,,,if there are any drawbacks to this phone here they are .,mark####are####if######expl####are####there######advcl####are####are######det####drawbacks####any######nsubj####are####drawbacks######det####phone####this######prep_to####drawbacks####phone######advmod####are####here######nsubj####are####they
voice dialing,,,"although i find it more convenient to use 1-touch dialing , this phone does not have voice_dialing .",mark####find####although######nsubj####find####i######advcl####have####find######nsubj####convenient####it######advmod####convenient####more######xcomp####find####convenient######aux####use####to######xcomp####convenient####use######amod####dialing####1-touch######dobj####use####dialing######det####phone####this######nsubj####have####phone######aux####have####does######neg####have####not######xcomp####have####voice_dialing
key,,,"the keypad is a decent size , but the power on/off key is small and difficult to press .",det####keypad####the######nsubj####size####keypad######cop####size####is######det####size####a######amod####size####decent######det####key####the######nn####key####power######nn####key####on\/off######nsubj####small####key######nsubj####difficult####key######cop####small####is######conj_but####size####small######conj_but####size####difficult######conj_and####small####difficult######aux####press####to######xcomp####small####press
battery life,,,"however , the battery_life is good enough you should n't be overly concerned with turning this phone off .",advmod####good####however######det####battery_life####the######nsubj####good####battery_life######cop####good####is######advmod####good####enough######nsubj####concerned####you######aux####concerned####should######neg####concerned####n't######cop####concerned####be######advmod####concerned####overly######ccomp####good####concerned######prepc_with####concerned####turning######det####phone####this######dobj####turning####phone######prt####turning####off
volume control,,,in my opinion the worst issue on this phone is the side-mounted volume_control .,poss####opinion####my######prep_in####volume_control####opinion######det####issue####the######amod####issue####worst######nsubj####volume_control####issue######det####phone####this######prep_on####issue####phone######cop####volume_control####is######det####volume_control####the######amod####volume_control####side-mounted
,,,it requires significant force to operate which can be scary on such a small phone .,nsubj####requires####it######amod####force####significant######dobj####requires####force######aux####operate####to######infmod####force####operate######nsubj####scary####which######aux####scary####can######cop####scary####be######ccomp####operate####scary######predet####phone####such######det####phone####a######amod####phone####small######prep_on####scary####phone
headphone jack,,,"one other issue is that the headphone_jack is unique to nokia , so standard headphones will not work .",num####issue####one######amod####issue####other######nsubj####is####issue######complm####unique####that######det####headphone_jack####the######nsubj####unique####headphone_jack######cop####unique####is######ccomp####is####unique######prep_to####unique####nokia######dep####is####so######amod####headphones####standard######nsubj####work####headphones######aux####work####will######neg####work####not######ccomp####is####work
phone,,,overall this is the best phone_i have ever owned .,advmod####phone_i####overall######nsubj####phone_i####this######cop####phone_i####is######det####phone_i####the######amod####phone_i####best######aux####owned####have######advmod####owned####ever######rcmod####phone_i####owned
,,,any disadvantages are easily outweighed by its advantages .,det####disadvantages####any######nsubjpass####outweighed####disadvantages######auxpass####outweighed####are######advmod####outweighed####easily######poss####advantages####its######agent####outweighed####advantages
,phone,,nokia does not disappoint in this model .,nsubj####disappoint####nokia######aux####disappoint####does######neg####disappoint####not######det####model####this######prep_in####disappoint####model
,,,go for it !,prep_for####go####it
,,,"i could n't be happier with t-mobile either , i switched from cingular .",nsubj####happier####i######aux####happier####could######neg####happier####n't######cop####happier####be######ccomp####switched####happier######prep_with####happier####t-mobile######advmod####happier####either######nsubj####switched####i######prep_from####switched####cingular
screen,,,one complaint ... the screen is too easily scratched !,num####complaint####one######dep####scratched####complaint######det####screen####the######nsubj####scratched####screen######cop####scratched####is######advmod####scratched####too######advmod####scratched####easily
,,,but there are faceplates to replace it i guess ...,cc####are####but######expl####are####there######acomp####are####faceplates######aux####replace####to######xcomp####faceplates####replace######dobj####replace####it######nsubj####guess####i######dep####replace####guess
,,,almost there .,advmod####there####almost
,,,i got this phone in t-mobile 's current customer_retention program for very little money and no contract_renewal .,nsubj####got####i######det####phone####this######dobj####got####phone######poss####program####t-mobile######amod####program####current######nn####program####customer_retention######prep_in####got####program######advmod####money####very######amod####money####little######prep_for####got####money######det####contract_renewal####no######prep_for####got####contract_renewal######conj_and####money####contract_renewal
,,,"i was getting so sick of my old motorola_l7089 , but was waiting for the right phone to come along .",nsubj####sick####i######nsubj####waiting####i######xsubj####come####i######aux####sick####was######dep####sick####getting######advmod####sick####so######poss####motorola_l7089####my######amod####motorola_l7089####old######prep_of####sick####motorola_l7089######aux####waiting####was######conj_but####sick####waiting######det####phone####the######amod####phone####right######prep_for####waiting####phone######aux####come####to######xcomp####waiting####come######prt####come####along
,,,this is almost it but not quite but the price was right .,nsubj####it####this######cop####it####is######advmod####it####almost######dep####quite####not######advmod####it####quite######conj_but####it####quite######cc####right####but######det####price####the######nsubj####right####price######cop####right####was######ccomp####it####right######conj_but####it####right
,,,that said this phone does what it does extremely well - way better than anything_motorola can produce .,nsubj####said####that######det####phone####this######nsubj####does####phone######ccomp####said####does######dobj####does####what######nsubj####does####it######ccomp####does####does######advmod####well####extremely######advmod####way####well######advmod####does####way######advmod####way####better######mark####produce####than######nsubj####produce####anything_motorola######aux####produce####can######dep####way####produce
"battery life,radio,signal,speakerphone,application",,,"it has great battery_life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java_apps .",nsubj####has####it######amod####battery_life####great######dobj####has####battery_life######nn####radio####fm######appos####battery_life####radio######amod####signal####excellent######appos####radio####signal######appos####radio####hands######amod####hands####free######dep####free####speakerphone######dep####have####which######nsubj####have####i######xsubj####say####i######dep####radio####have######aux####say####to######xcomp####have####say######cop####function####is######advmod####function####probably######poss####function####my######amod####function####favorite######ccomp####say####function######amod####java_apps####downloadable######appos####battery_life####java_apps######conj_and####radio####java_apps
,,,"what it lacks for me is n't available on one phone yet , namely gsm850 ( also sometimes known as gsm800 ) , bluetooth and edge .",dep####lacks####what######dobj####available####what######nsubj####lacks####it######dep####bluetooth####lacks######mark####available####for######nsubj####available####me######cop####available####is######neg####available####n't######advcl####lacks####available######num####phone####one######prep_on####available####phone######advmod####available####yet######advmod####gsm850####namely######acomp####available####gsm850######dep####known####also######advmod####known####sometimes######dep####gsm850####known######prep_as####known####gsm800######conj_and####bluetooth####edge
,,,so when the quad bands start appearing i will be upgrading again .,advmod####start####so######advmod####start####when######det####bands####the######amod####bands####quad######nsubj####start####bands######csubj####upgrading####start######xcomp####start####appearing######dobj####appearing####i######aux####upgrading####will######aux####upgrading####be######advmod####upgrading####again
,,,but for now this will do .,cc####do####but######prep####do####for######pobj####for####now######nsubj####do####this######aux####do####will
,,,"oh and before anyone_comments yes i know motorola have announced a quad_band edge bluetooth phone , but its not shipping at time of writing and the tri-band gsm850_phones lack the gsm900_band which is important if you like me globally roam .",csubj####know####oh######mark####anyone_comments####before######conj_and####oh####anyone_comments######csubj####know####anyone_comments######dep####anyone_comments####yes######advmod####anyone_comments####i######nsubj####announced####motorola######aux####announced####have######ccomp####know####announced######det####phone####a######amod####phone####quad_band######nn####phone####edge######nn####phone####bluetooth######dobj####announced####phone######nsubj####not####its######conj_but####know####not######xcomp####not####shipping######prep_at####shipping####time######prep_of####time####writing######det####lack####the######amod####lack####tri-band######amod####lack####gsm850_phones######prep_of####time####lack######conj_and####writing####lack######det####gsm900_band####the######dobj####shipping####gsm900_band######nsubj####important####gsm900_band######cop####important####is######rcmod####gsm900_band####important######mark####like####if######nsubj####like####you######advcl####important####like######nsubj####roam####me######advmod####roam####globally######ccomp####like####roam
phone,,,great phone_.. .
